Fullname,Gender,Age,Skills,Company,Salary (SEK),Location,Registration Date
Christopher Nicely,male,42,Diplomacy skills; Stress resistance; Ability to lead people; UML; Business Process,Softimage,39000,68.43464916421526; 17.398147103178523,2023-01-12
April Lantz,female,58,AutoCAD; 3dMax; Hardware; CSS; HTML,ShadowFactor Software,36000,58.97195166556468; 5.727959039578661,2023-03-15
Nina Barnes,female,31,MySQL; SQL; DBMS; Grafana; Hardware; HTML; Python,Softimage,33000,59.90877945341148; 10.743255402397379,2023-08-21
Rhonda Burr,female,24,C++; Jenkins; VM; C; Ansimble; MacOS,NextBase,51000,60.38913514662357; 5.332868128629707,2023-08-14
Nicholas Hamilton,male,48,Dynamic programming; Algorithms,Sendit,36000,63.42800037961394; 10.392481725319492,2023-09-06
William Heritage,male,32,Time Series; Keras; Machine learning; Python; Tensorflow,Teacher Gaming LLC,45000,60.38586993612575; 5.337607345924655,2023-04-30
Zita Ketchie,female,41,HTTP; Django; Python; Angular,Teacher Gaming LLC,33000,60.38373650611105; 5.3323170404862115,2023-05-03
Robert Quinn,male,43,Operating Systems; MySQL; Oracle; SQL,Classic Games,42000,58.97122402101705; 5.733643737335514,2023-03-03
Margaret Clemente,female,27,Knowledge Base; Python; Data Science,"Talko, Inc.",30000,67.28242671257885; 14.370857611760245,2023-01-04
Arlene Mock,female,42,Kubernetes; C++; JavaScript; Chef; Apache Drill,Online Anywhere,60000,60.38957203503165; 5.330388540628639,2023-01-28
Patricia Lahip,female,35,Computer Science; C#; JavaScript; AdaBoost; Linux; Python; NumPy,Aspect Software Engineering,48000,60.39217342786787; 5.33103673651522,2023-05-20
Tonya Cherubino,female,33,HTML; Machine learning; Slack; Theano; Python,NextBase,51000,59.91283784338328; 10.738918415486399,2023-07-05
Marissa Baldwin,female,32,R; Pandas; AdaBoost; Linux; CSS; Python; Tensorflow; Сlassification,Jump Networks,39000,60.391573801365844; 5.329979935215397,2023-01-12
Alice Ridling,female,36,Slack; Software Development; Distributed Computing; Algorithms,Teacher Gaming LLC,36000,59.91345565268349; 10.743090423268084,2023-08-01
Gladys Weir,female,28,Сlustering; HTML; Python; NumPy; scikit-learn,Clearleap,48000,67.28231962081912; 14.381500915970813,2023-02-03
Jacob Mcmorris,male,38,Neural networks; Statistics; C; HTML; Python; Tensorflow,GeoCities,36000,69.68099096973143; 18.94752289252649,2023-07-12
Jean White,female,42,SQL; NoSQL; DBMS; Grafana; Python; MacOS,ShadowFactor Software,30000,69.68355738492721; 18.94254918555306,2023-01-23
Emily Martin,female,30,Yolo; C++; C; Computer Vision; Object Detection,Sendit,24000,58.96718760879804; 5.734321955774342,2023-03-15
George Vieyra,male,51,MongoDB; SQL; R; MS Office; Oracle,Aspect Software Engineering,30000,63.42794468539213; 10.395312554274735,2023-03-22
Michael Ayers,male,37,Abstract thinking; Stress resistance; IDEF; Business Strategy; Ability to lead people,Fox Software,48000,60.393377954222764; 5.326881036219021,2023-07-23
Lynette Daniels,female,34,Inkscape; Art; Adobe Illustrator; Typography,Sendit,33000,59.913160755888065; 10.738240820328542,2023-03-30
Felicia Cobb,female,23,Trello; Elasticsearch; SQL,FASA Interactive,27000,60.39136752234347; 5.330469933912024,2023-03-09
Glenn Depue,male,40,UI/UX; Art; HTML; Figma; Inkscape,Sendit,27000,63.43351493111161; 10.395849351951263,2023-06-02
Marjorie Livesay,female,39,NoSQL; MySQL; SQL,Aspect Software Engineering,24000,69.69033006693019; 18.944018223188415,2023-07-10
Patricia Brett,female,29,UI/UX; Node.js; Angular; Knowledge Base,Softimage,27000,58.96890865565908; 5.734158812613112,2023-05-30
Linda Manning,female,40,MySQL; SQL; NoSQL; C++; Grafana; JavaScript,ShadowFactor Software,36000,59.91072612589268; 10.739097212130412,2023-07-27
Maria Hunter,female,43,PyTorch; iOS; AdaBoost; Java; HTML; Python; Сlassification,Teacher Gaming LLC,42000,63.4341845738797; 10.395157014386028,2023-02-20
Leon Jimenez,male,37,Apache Hadoop; C#; Spark; VMware; Apache Drill,Sendit,39000,68.43333217918035; 17.39999192155686,2023-01-31
Richard Mcclinton,male,42,C++; R; iOS; AdaBoost; Neural networks; Python,Teacher Gaming LLC,39000,60.38763040823088; 5.337305021508568,2023-06-06
Jacqulyn Mohler,female,65,Business Planning; iOS; Financial Risk; Business Intelligence; Teamwork skills; Ability to lead people; UML,Softimage,33000,60.38556485414493; 5.3297941071686745,2023-05-03
Tammy Steiner,female,35,C#; iOS; Python; NumPy; scikit-learn,ShadowFactor Software,36000,67.28687932372316; 14.379984777821678,2023-06-29
Percy Gomez,male,65,Financial Analysis; Creative thinking; Trello; Business Intelligence; Teamwork skills; Ability to lead people; Business Process; Management,NextBase,36000,67.27951614375415; 14.376622816239733,2023-09-22
Robert Hanlon,male,33,PostgreSQL; SQL; NoSQL; C#; JavaScript,Teacher Gaming LLC,36000,60.39026915381005; 5.327547383008915,2023-05-02
Marguerite Jones,female,39,Communication skills; Financial Reporting; Business Services; Analytics; Teamwork skills; Ability to lead people; BPMN; Business Analysis,Clearleap,39000,59.912948265767334; 10.744868041409097,2023-05-21
Diane Ellis,female,48,Node.js; HTML; Python,Clearleap,45000,59.91285304991666; 10.739064321436459,2023-06-06
